ph,r,p,m,Pov_2012,SE_2012,CoV_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH153611000,ARMM,Lanao del Sur,Lumba-Bayabao (Maguing),74,5.64,7.62,38.8,5.7,14.8,24.3,5.6,22.9
PH153612000,ARMM,Lanao del Sur,Lumbatan,59.43,5.07,8.53,36.8,4.7,12.8,34.0,10.8,31.9
PH153613000,ARMM,Lanao del Sur,Madalum,60.87,5.14,8.44,32.6,4.5,13.9,27.9,6.1,21.9
PH153614000,ARMM,Lanao del Sur,Madamba,66.91,5.28,7.89,46.7,7.0,15.0,23.3,6.4,27.5
PH153615000,ARMM,Lanao del Sur,Malabang,68.06,5.56,8.17,37.7,5.1,13.7,28.8,6.8,23.5
PH153616000,ARMM,Lanao del Sur,Marantao,60.2,4.46,7.41,29.2,4.7,16.0,33.0,7.7,23.4
PH153617000,ARMM,Lanao del Sur,Marawi City,60.04,4.69,7.81,34.5,4.7,13.7,27.6,4.6,16.6
PH153618000,ARMM,Lanao del Sur,Masiu,59.45,5.04,8.48,39.4,6.9,17.6,32.8,7.7,23.6
PH153619000,ARMM,Lanao del Sur,Mulondo,65.36,5.53,8.46,54.2,10.2,18.8,37.1,10.0,26.8
PH153620000,ARMM,Lanao del Sur,Pagayawan (Tatarikan),71.55,5.92,8.27,43.5,7.3,16.7,38.8,9.8,25.2
PH153621000,ARMM,Lanao del Sur,Piagapo,81.38,5.48,6.73,37.0,4.4,11.9,38.6,9.0,23.2
PH153622000,ARMM,Lanao del Sur,Poona Bayabao  (Gata),64.33,5.15,8.01,28.3,4.7,16.5,31.9,8.1,25.4
PH153623000,ARMM,Lanao del Sur,Pualas,72.51,6.65,9.17,27.5,4.7,17.0,25.6,6.2,24.0
PH153624000,ARMM,Lanao del Sur,Ditsaan-Ramain,67.04,5.47,8.16,41.9,6.1,14.6,33.0,7.5,22.6
PH153625000,ARMM,Lanao del Sur,Saguiaran,72.04,6.15,8.54,33.2,4.4,13.4,37.4,9.8,26.3
PH153626000,ARMM,Lanao del Sur,Tamparan,68.3,5.59,8.18,39.9,5.8,14.6,30.3,7.1,23.5
PH153627000,ARMM,Lanao del Sur,Taraka,67.81,5.47,8.07,38.0,5.4,14.3,30.9,8.4,27.2
PH153628000,ARMM,Lanao del Sur,Tubaran,51.72,5.38,10.40,44.4,7.3,16.4,40.3,9.0,22.4
PH153629000,ARMM,Lanao del Sur,Tugaya,68.41,5.71,8.35,45.3,7.9,17.4,39.7,11.8,29.7
PH153630000,ARMM,Lanao del Sur,Wao,73.8,6.16,8.35,25.5,4.2,16.4,27.6,6.3,22.8
PH153631000,ARMM,Lanao del Sur,Marogong,76.19,6.88,9.03,46.2,7.5,16.2,46.1,11.0,23.8
PH153632000,ARMM,Lanao del Sur,Calanogas,72.52,6.2,8.55,53.9,10.0,18.6,39.8,9.6,24.1
PH153633000,ARMM,Lanao del Sur,Buadiposo-Buntong,52.84,5.85,11.07,38.6,5.8,15.0,31.0,8.6,27.6
PH153634000,ARMM,Lanao del Sur,Maguing,58.76,5.31,9.04,29.9,4.1,13.6,33.0,7.3,22.1
PH153635000,ARMM,Lanao del Sur,Sultan Gumander,72.71,5.59,7.69,47.3,6.8,14.5,40.5,10.2,25.1
PH153636000,ARMM,Lanao del Sur,Lumbayanague,81.88,5.6,6.84,55.7,9.7,17.4,30.1,7.9,26.3
PH153637000,ARMM,Lanao del Sur,Bumbaran,62.68,4.4,7.02,37.8,6.3,16.6,34.1,7.9,23.2
PH153638000,ARMM,Lanao del Sur,Tagoloan II,60.75,5.88,9.68,59.3,9.3,15.6,45.7,13.3,29.0
PH153639000,ARMM,Lanao del Sur,Kapatagan,60.44,5.1,8.44,32.3,4.8,14.8,29.4,7.7,26.3
PH153640000,ARMM,Lanao del Sur,Sultan Dumalondong,72.98,5.83,7.99,51.4,10.5,20.4,46.0,15.6,33.9
PH153641000,ARMM,Lanao del Sur,Lumbaca-Unayan,76.47,6.94,9.08,36.0,6.9,19.1,34.8,11.0,31.6
PH153801000,ARMM,Maguindanao,Ampatuan,63.3,8.07,12.75,51.9,6.2,11.9,36.1,9.8,27.1
PH153802000,ARMM,Maguindanao,Buldon,65.12,7.58,11.64,53.4,6.9,12.9,45.1,6.9,15.3
PH153803000,ARMM,Maguindanao,Buluan,71.67,9.63,13.44,50.7,10.6,20.8,47.3,14.3,30.3
PH153805000,ARMM,Maguindanao,Datu Paglas,76.37,9.48,12.41,48.4,5.2,10.8,47.2,8.0,16.9
PH153806000,ARMM,Maguindanao,Datu Piang,68.4,8.6,12.57,52.5,11.4,21.6,56.2,9.0,16.0
PH153807000,ARMM,Maguindanao,Datu Odin Sinsuat (Dinaig),62.04,9.45,15.23,45.0,4.5,10.0,44.3,6.6,14.9
PH153808000,ARMM,Maguindanao,Shariff Aguak (Maganoy),74.49,9.25,12.42,56.9,8.4,14.8,54.2,8.9,16.4
PH153809000,ARMM,Maguindanao,Matanog,59.32,6.41,10.81,43.7,7.3,16.7,52.5,10.5,20.0
PH153810000,ARMM,Maguindanao,Pagalungan,37.47,8.34,22.26,46.7,6.2,13.2,53.0,8.9,16.9
PH153811000,ARMM,Maguindanao,Parang,73.97,9.95,13.45,42.0,5.6,13.4,36.1,6.8,18.9
PH153812000,ARMM,Maguindanao,Sultan Kudarat (Nuling),54.66,6.72,12.29,50.0,3.6,7.2,50.1,5.6,11.2
PH153813000,ARMM,Maguindanao,Sultan Sa Barongis (Lambayong),66.49,8.68,13.05,61.1,6.1,10.0,61.8,10.1,16.3
PH153814000,ARMM,Maguindanao,Kabuntalan (Tumbao),57.58,8.39,14.57,62.8,6.4,10.1,51.3,8.9,17.3
PH153815000,ARMM,Maguindanao,Upi,66.39,8.85,13.33,34.8,5.1,14.8,49.0,7.7,15.7
PH153816000,ARMM,Maguindanao,Talayan,80.28,8.06,10.04,50.9,5.7,11.1,56.7,9.1,16.1
PH153817000,ARMM,Maguindanao,South Upi,68.7,8.64,12.58,42.9,6.9,16.2,53.5,10.0,18.7
PH153818000,ARMM,Maguindanao,Barira,43.69,6.91,15.82,39.9,5.3,13.2,46.7,8.5,18.2
PH153819000,ARMM,Maguindanao,Gen. S. K. Pendatun,52.32,9.08,17.35,61.0,6.1,10.1,62.6,8.1,12.9
PH153820000,ARMM,Maguindanao,Mamasapano,73.65,8.33,11.31,55.8,7.5,13.5,59.0,10.1,17.2
PH153821000,ARMM,Maguindanao,Talitay,77.14,7.82,10.14,51.9,7.9,15.1,63.0,9.4,14.9
PH153822000,ARMM,Maguindanao,Pagagawan,76.22,8.56,11.23,53.0,6.0,11.4,50.7,9.0,17.8
PH153823000,ARMM,Maguindanao,Paglat,69.6,8.38,12.04,61.1,7.3,12.0,62.4,14.5,23.3
PH153824000,ARMM,Maguindanao,Sultan Mastura,62.82,9.32,14.84,44.4,6.4,14.5,48.3,8.7,18.0
PH153825000,ARMM,Maguindanao,Guindulungan,75.77,10.15,13.40,64.5,6.5,10.0,60.5,8.7,14.4
PH153826000,ARMM,Maguindanao,Datu Saudi-Ampatuan,82.96,8.49,10.23,43.4,7.9,18.3,53.2,8.3,15.6
PH153827000,ARMM,Maguindanao,Datu Unsay,70.91,8.65,12.20,47.1,9.9,21.1,63.0,10.8,17.1
PH153828000,ARMM,Maguindanao,Datu Abdullah Sangki,68.6,9.3,13.56,51.0,7.0,13.7,43.4,10.1,23.2
PH153829000,ARMM,Maguindanao,Rajah Buayan,70.5,8.88,12.60,53.9,6.2,11.6,55.5,11.2,20.2
PH153830000,ARMM,Maguindanao,Datu Blah T. Sinsuat,66.81,10.22,15.30,48.7,6.3,13.0,56.9,10.5,18.5
