ph,r,p,m,Pov_2012,SE_2012,CoV_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH133901000,NCR,1st district,Tondo,3.14,0.64,20.38,2.9,0.8,27.5,4.1,0.5,12.6
PH133902000,NCR,1st district,Binondo,1.48,0.62,41.89,1.0,0.7,68.0,1.8,0.3,18.1
PH133903000,NCR,1st district,Quiapo,2.1,0.59,28.10,2.1,0.9,42.4,5.3,0.4,7.9
PH133904000,NCR,1st district,San Nicolas,2.95,1.58,53.56,2.4,1.4,57.0,4.9,0.5,9.6
PH133905000,NCR,1st district,Santa Cruz,1.49,0.29,19.46,1.7,0.5,32.5,4.3,0.6,14.3
PH133906000,NCR,1st district,Sampaloc,0.77,0.19,24.68,1.3,0.3,23.6,5.8,0.7,11.9
PH133907000,NCR,1st district,San Miguel,1.19,0.87,73.11,1.4,0.9,67.4,3.1,1.5,47.2
PH133908000,NCR,1st district,Ermita,0.9,0.43,47.78,1.5,1.0,68.7,4.4,2.5,56.4
PH133909000,NCR,1st district,Intramuros,2.48,1.23,49.60,2.5,1.2,48.0,3.0,0.6,20.9
PH133910000,NCR,1st district,Malate,1.31,0.35,26.72,1.8,0.5,29.1,6.4,0.6,8.9
PH133911000,NCR,1st district,Paco,0.9,0.28,31.11,1.8,0.6,31.3,6.0,0.4,5.8
PH133912000,NCR,1st district,Pandacan,1.56,0.4,25.64,1.9,0.6,33.0,6.0,0.5,7.8
PH133913000,NCR,1st district,Port Area,10.03,4.53,45.16,11.9,6.8,57.5,13.2,2.0,15.2
PH133914000,NCR,1st district,Santa Ana,1.27,0.35,27.56,2.2,0.6,29.0,4.7,0.8,17.8
PH137401000,NCR,2nd district,Mandaluyong  City,1.28,0.42,32.81,1.8,0.8,45.1,6.1,1.1,17.6
PH137402000,NCR,2nd district,Marikina  City,1.41,0.43,30.50,2.2,0.9,41.1,6.0,0.7,11.9
PH137403000,NCR,2nd district,Pasig City,1.83,0.45,24.59,2.2,0.8,37.3,5.0,0.5,9.5
PH137404000,NCR,2nd district,Quezon City,1.62,0.3,18.52,2.4,0.6,25.3,4.1,0.7,16.0
PH137405000,NCR,2nd district,San Juan,0.28,0.17,60.71,1.5,0.6,42.5,2.9,2.0,67.0
PH137501000,NCR,3rd district,Kalookan City,2.84,0.55,19.37,3.1,0.9,28.2,5.0,1.0,19.1
PH137502000,NCR,3rd district,Malabon,3.84,0.88,22.92,4.0,1.7,41.4,6.1,1.0,15.8
PH137503000,NCR,3rd district,Navotas,6,1.63,27.17,3.8,1.8,48.4,6.2,1.4,22.6
PH137504000,NCR,3rd district,Valenzuela  City,2.29,0.53,23.14,3.7,1.3,33.4,5.1,1.1,21.1
PH137601000,NCR,4th district,Las Pi–as  City,1.37,0.44,32.12,2.8,1.0,37.8,3.9,1.0,25.5
PH137602000,NCR,4th district,Makati  City,0.46,0.22,47.83,1.4,0.6,42.3,2.9,0.6,20.5
PH137603000,NCR,4th district,Muntinlupa  City,1.89,0.56,29.63,2.4,1.2,49.6,4.9,1.0,20.3
PH137604000,NCR,4th district,Para–aque  City,1.13,0.42,37.17,2.0,1.0,41.9,5.5,0.5,8.6
PH137605000,NCR,4th district,Pasay City,1.94,0.31,15.98,1.7,0.5,26.4,5.3,0.6,11.0
PH137606000,NCR,4th district,Pateros,2.41,1.04,43.15,3.0,1.9,64.9,8.2,2.2,27.3
PH137607000,NCR,4th district,Taguig,2.38,0.56,23.53,2.7,1.1,41.5,4.3,0.8,19.3
PH140101000,CAR,Abra,Bangued,10.86,2.89,26.61,16.8,2.1,12.7,16.6,3.4,26.9
PH140102000,CAR,Abra,Boliney,65.98,7.58,11.49,50.6,9.5,18.9,76.0,9.2,22.9
PH140103000,CAR,Abra,Bucay,37.62,5.75,15.28,36.2,5.8,16.1,42.6,6.4,22.1
PH140104000,CAR,Abra,Bucloc,42.11,8.7,20.66,77.2,10.1,13.0,58.0,9.5,26.4
PH140105000,CAR,Abra,Daguioman,37,8.71,23.54,32.2,8.8,27.3,46.8,10.5,32.4
PH140106000,CAR,Abra,Danglas,32.68,6.54,20.01,32.0,7.3,22.8,40.2,6.5,25.5
PH140107000,CAR,Abra,Dolores,23.6,4.93,20.89,33.5,5.0,15.0,23.7,5.1,28.7
PH140108000,CAR,Abra,La Paz,28.13,5.41,19.23,36.0,5.4,14.9,37.6,6.8,25.4
PH140109000,CAR,Abra,Lacub,57.75,7.72,13.37,67.2,9.5,14.2,58.8,8.2,22.5
PH140110000,CAR,Abra,Lagangilang,28.48,5.13,18.01,27.5,4.5,16.5,30.1,6.1,27.9
PH140111000,CAR,Abra,Lagayan,42.23,7.92,18.75,41.4,7.8,18.8,35.0,8.5,34.3
PH140112000,CAR,Abra,Langiden,40.75,7.87,19.31,46.0,8.1,17.6,44.1,8.8,29.8
PH140113000,CAR,Abra,Licuan-Baay (Licuan),45.86,6.52,14.22,46.7,8.4,18.0,39.7,8.0,26.5
PH140114000,CAR,Abra,Luba,44.78,6.92,15.45,36.2,6.7,18.5,50.5,8.4,26.3
PH140115000,CAR,Abra,Malibcong,51.54,6.59,12.79,55.6,8.8,15.8,48.9,6.8,20.2
PH140116000,CAR,Abra,Manabo,30.81,5.63,18.27,34.9,6.9,19.8,33.3,6.7,29.6
PH140117000,CAR,Abra,Pe–arrubia,30.96,5.6,18.09,35.7,7.0,19.6,29.6,7.6,33.7
PH140118000,CAR,Abra,Pidigan,23.08,4.96,21.49,25.9,4.9,18.9,22.7,5.7,32.9
PH140119000,CAR,Abra,Pilar,38.43,5.74,14.94,42.8,6.2,14.4,41.0,6.8,23.0
PH140120000,CAR,Abra,Sallapadan,43.21,7.18,16.62,62.0,8.2,13.2,25.5,6.0,31.3
PH140121000,CAR,Abra,San Isidro,42.33,6.96,16.44,42.3,6.7,15.9,50.8,7.0,21.3
PH140122000,CAR,Abra,San Juan,21.95,4.75,21.64,33.7,6.6,19.7,40.2,6.4,23.0
PH140123000,CAR,Abra,San Quintin,22.5,5.96,26.49,28.7,6.7,23.3,21.0,6.8,41.0
PH140124000,CAR,Abra,Tayum,23.38,5.03,21.51,23.7,4.4,18.7,23.4,5.7,32.6
PH140125000,CAR,Abra,Tineg,78.27,6.19,7.91,43.2,8.6,19.9,62.9,7.5,20.4
PH140126000,CAR,Abra,Tubo,51.66,7.41,14.34,56.4,9.4,16.6,53.3,8.3,23.3
PH140127000,CAR,Abra,Villaviciosa,39.16,6.9,17.62,49.1,7.7,15.7,49.7,8.3,25.2
PH141101000,CAR,Benguet,Atok,16.63,4.68,28.14,39.7,9.9,24.9,7.6,3.0,51.4
PH141102000,CAR,Benguet,Baguio City,0.85,0.34,40.00,2.4,0.8,31.3,1.2,0.5,55.6
PH141103000,CAR,Benguet,Bakun,26.48,5.99,22.62,53.7,9.6,17.9,17.0,4.8,38.5
PH141104000,CAR,Benguet,Bokod,9.15,3.06,33.44,21.5,4.8,22.4,5.1,2.2,59.3
PH141105000,CAR,Benguet,Buguias,13.07,3.33,25.48,42.0,8.1,19.2,6.4,2.5,50.0
PH141106000,CAR,Benguet,Itogon,4.76,1.98,41.60,8.9,2.6,29.0,5.8,2.3,52.9
PH141107000,CAR,Benguet,Kabayan,15.67,3.64,23.23,58.6,7.3,12.5,18.0,5.1,37.7
PH141108000,CAR,Benguet,Kapangan,17.67,3.55,20.09,37.7,6.6,17.5,25.9,5.6,27.9
PH141109000,CAR,Benguet,Kibungan,26.09,7.07,27.10,67.9,11.3,16.7,22.3,5.6,32.5
PH141110000,CAR,Benguet,La Trinidad,1.65,0.73,44.24,5.4,1.5,27.3,1.6,0.7,56.5
PH141111000,CAR,Benguet,Mankayan,6.17,2.42,39.22,16.5,4.3,26.2,6.6,2.3,46.6
PH141112000,CAR,Benguet,Sablan,9.19,3.17,34.49,19.3,5.4,27.7,14.1,3.8,32.7
PH141113000,CAR,Benguet,Tuba,4.58,1.78,38.86,14.2,3.2,22.7,6.4,2.1,40.7
PH141114000,CAR,Benguet,Tublay,11.66,3.71,31.82,30.4,6.9,22.7,11.3,3.5,39.3
PH142701000,CAR,Ifugao,Banaue,30.76,4.38,14.24,20.9,3.4,16.3,29.3,4.9,22.4
PH142702000,CAR,Ifugao,Hungduan,40.56,6.51,16.05,29.9,5.8,19.3,43.9,7.1,23.0
PH142703000,CAR,Ifugao,Kiangan,25.3,4.46,17.63,22.9,5.0,21.9,20.6,3.9,24.7
PH142704000,CAR,Ifugao,Lagawe,17.6,2.9,16.48,19.9,3.5,17.4,27.4,3.2,15.1
PH142705000,CAR,Ifugao,Lamut,17.21,2.9,16.85,18.2,3.3,18.3,20.4,3.2,20.0
PH142706000,CAR,Ifugao,Mayoyao,34.34,4.45,12.96,34.1,4.1,11.9,38.5,4.8,18.0
PH142707000,CAR,Ifugao,Alfonso Lista (Potia),21.51,4.1,19.06,37.1,4.5,12.2,30.6,4.3,19.1
PH142708000,CAR,Ifugao,Aguinaldo,53.55,7,13.07,33.2,6.0,18.1,42.2,5.8,19.3
PH142709000,CAR,Ifugao,Hingyon,29.9,5.96,19.93,25.2,5.7,22.7,25.4,5.2,26.5
PH142710000,CAR,Ifugao,Tinoc,53.47,7.02,13.13,49.6,7.5,15.0,52.0,7.5,21.8
PH142711000,CAR,Ifugao,Asipulo,55.29,8.17,14.78,47.5,9.3,19.5,55.0,7.8,22.2
PH143201000,CAR,Kalinga,Balbalan,33.91,6.63,19.55,30.1,5.7,19.1,35.4,5.8,22.3
PH143206000,CAR,Kalinga,Lubuagan,26.14,5.9,22.57,24.8,5.3,21.2,35.6,5.7,21.7
PH143208000,CAR,Kalinga,Pasil,41.18,8.09,19.65,26.5,4.5,16.9,44.8,6.5,22.0
PH143209000,CAR,Kalinga,Pinukpuk,31.92,5.72,17.92,29.9,4.3,14.5,33.9,5.1,20.4
PH143211000,CAR,Kalinga,Rizal (Liwan),9.05,2.83,31.27,25.3,5.4,21.2,28.0,5.2,24.8
PH143213000,CAR,Kalinga,Tabuk,8.79,1.87,21.27,17.3,2.8,16.3,18.1,3.2,22.3
PH143214000,CAR,Kalinga,Tanudan,40.7,7.08,17.40,30.7,6.1,20.0,66.6,8.6,21.5
PH143215000,CAR,Kalinga,Tinglayan,26.42,4.75,17.98,34.1,5.3,15.5,72.0,9.5,24.8
PH144401000,CAR,Mountain Province,Barlig,16.66,3.93,23.59,27.4,8.3,30.4,20.2,4.6,33.7
PH144402000,CAR,Mountain Province,Bauko,21.12,3.76,17.80,34.4,7.8,22.7,13.4,2.8,28.4
PH144403000,CAR,Mountain Province,Besao,16.3,3.63,22.27,26.9,7.7,28.7,19.2,4.2,29.9
PH144404000,CAR,Mountain Province,Bontoc,10.86,2.78,25.60,16.7,4.9,29.4,15.1,5.1,41.6
PH144405000,CAR,Mountain Province,Natonin,39.74,5.88,14.80,37.4,9.2,24.5,59.2,9.5,25.4
PH144406000,CAR,Mountain Province,Paracelis,40.56,6.02,14.84,46.7,10.0,21.4,43.1,5.5,17.5
PH144407000,CAR,Mountain Province,Sabangan,10.91,2.72,24.93,26.0,8.1,31.1,11.4,3.0,36.3
PH144408000,CAR,Mountain Province,Sadanga,42.67,7.85,18.40,39.0,10.9,27.8,55.1,8.2,23.2
PH144409000,CAR,Mountain Province,Sagada,10.2,2.5,24.51,35.4,9.0,25.4,11.2,2.5,29.1
PH144410000,CAR,Mountain Province,Tadian,21.63,3.77,17.43,36.2,7.2,20.0,23.9,3.9,23.5
PH148101000,CAR,Apayao,Calanasan (Bayag),62.58,7.53,12.03,32.9,7.0,21.4,34.6,7.5,29.2
PH148102000,CAR,Apayao,Conner,56.31,5.7,10.12,30.3,4.6,15.2,35.1,5.4,20.0
PH148103000,CAR,Apayao,Flora,35.73,6.12,17.13,26.2,5.3,20.1,23.0,4.5,24.9
PH148104000,CAR,Apayao,Kabugao,63.9,5.93,9.28,40.6,5.3,13.0,39.2,5.6,19.9
PH148105000,CAR,Apayao,Luna,33.42,4.55,13.61,28.8,4.7,16.4,16.8,3.0,22.4
PH148106000,CAR,Apayao,Pudtol,41.12,5.97,14.52,29.8,5.5,18.3,26.1,4.0,19.2
PH148107000,CAR,Apayao,Santa Marcela,32.63,5.79,17.74,23.8,4.9,20.7,18.2,3.9,27.4
PH012801000,Region I,Ilocos Norte,Adams,17.91,12.59,70.30,29.4,1.1,8.5,39.9,0.4,33.3
PH012802000,Region I,Ilocos Norte,Bacarra,11.41,2.11,18.49,13.2,2.3,11.7,11.7,0.5,16.4
PH012803000,Region I,Ilocos Norte,Badoc,14.04,2.39,17.02,19.6,1.4,11.3,19.6,0.5,11.5
PH012804000,Region I,Ilocos Norte,Bangui,11.97,2.41,20.13,12.6,2.1,13.6,24.5,0.4,12.0
PH012805000,Region I,Ilocos Norte,Batac,11,1.88,17.09,15.3,1.6,9.6,11.2,0.4,15.4
PH012806000,Region I,Ilocos Norte,Burgos,13.78,3.47,25.18,16.8,5.3,23.5,27.6,3.5,12.7
PH012807000,Region I,Ilocos Norte,Carasi,14.27,6.52,45.69,22.6,1.3,8.7,26.4,8.0,30.1
PH012808000,Region I,Ilocos Norte,Currimao,12.91,2.35,18.20,15.2,2.1,13.1,21.5,2.4,11.1
PH012809000,Region I,Ilocos Norte,Dingras,14.52,2.49,17.15,16.3,2.6,9.8,19.5,2.2,11.4
PH012810000,Region I,Ilocos Norte,Dumalneg,21.05,12.75,60.57,21.6,5.7,26.3,31.6,11.7,37.0
PH012811000,Region I,Ilocos Norte,Banna,15.76,2.85,18.08,17.8,2.2,12.2,21.8,2.3,10.7
PH012812000,Region I,Ilocos Norte,Laoag City,9.63,1.35,14.02,9.9,0.8,8.2,6.5,1.2,18.8
PH012813000,Region I,Ilocos Norte,Marcos,15.5,3.58,23.10,18.7,2.0,10.9,27.8,3.7,13.1
PH012814000,Region I,Ilocos Norte,Nueva Era,16.97,3.83,22.57,24.9,2.7,10.7,37.7,4.7,12.5
PH012815000,Region I,Ilocos Norte,Pagudpud,15.78,3.4,21.55,20.2,1.3,6.3,29.6,3.1,10.3
PH012816000,Region I,Ilocos Norte,Paoay,11.24,2.61,23.22,14.9,1.2,7.9,12.2,2.2,17.6
PH012817000,Region I,Ilocos Norte,Pasuquin,12.75,2.32,18.20,14.1,1.6,11.4,22.2,2.5,11.2
PH012818000,Region I,Ilocos Norte,Paiddig,13.97,2.77,19.83,16.3,2.6,16.1,20.6,2.1,10.2
PH012819000,Region I,Ilocos Norte,Painili,14.17,2.49,17.57,17.6,2.3,13.0,21.9,2.6,11.7
PH012820000,Region I,Ilocos Norte,San Nicolas,11.39,2.18,19.14,12.3,1.1,9.2,7.3,1.8,24.0
PH012821000,Region I,Ilocos Norte,Sarrat,12.28,2.05,16.69,14.0,1.9,13.5,20.2,2.6,13.0
PH012822000,Region I,Ilocos Norte,Solsona,13.33,2.55,19.13,15.0,1.3,8.7,21.6,2.5,11.4
PH012823000,Region I,Ilocos Norte,Vintar,13.43,2.32,17.27,16.8,2.0,12.0,18.7,2.1,11.0
PH012901000,Region I,Ilocos Sur,Alilim,23.72,5.3,22.34,27.4,2.4,8.6,37.5,5.8,15.5
PH012902000,Region I,Ilocos Sur,Banayoyo,18.72,3.88,20.73,20.9,2.6,12.6,19.2,3.2,16.9
PH012903000,Region I,Ilocos Sur,Bantay,17.29,2.51,14.52,16.4,1.9,11.3,13.2,2.4,18.4
PH012904000,Region I,Ilocos Sur,Burgos,17.86,2.71,15.17,26.5,3.2,12.2,26.4,2.6,9.9
PH012905000,Region I,Ilocos Sur,Cabugao,18.68,2.58,13.81,20.7,2.4,11.4,23.5,2.2,9.2
PH012906000,Region I,Ilocos Sur,Candon City,16.34,2.23,13.65,17.8,2.0,11.0,17.5,2.2,12.6
PH012907000,Region I,Ilocos Sur,Caoayan City,14.76,2.65,17.95,14.4,1.4,9.9,12.5,2.1,17.1
PH012908000,Region I,Ilocos Sur,Cervantes,22.28,4.18,18.76,24.5,3.6,14.6,38.2,5.1,13.2
PH012909000,Region I,Ilocos Sur,Galimuyod,18.66,3.23,17.31,20.6,2.8,13.8,33.5,3.7,11.0
PH012910000,Region I,Ilocos Sur,Gregorio del Pilar,19.3,4.88,25.28,26.1,3.4,13.1,29.3,6.2,21.0
PH012911000,Region I,Ilocos Sur,Lidlida,18.35,3.8,20.71,17.3,3.4,19.9,21.6,3.6,16.4
PH012912000,Region I,Ilocos Sur,Magsingkal,18.47,3.49,18.90,18.1,2.5,13.9,18.9,2.7,14.4
PH012913000,Region I,Ilocos Sur,Nagbukel,17.41,3.49,20.05,28.4,4.6,16.0,26.0,4.4,16.7
PH012914000,Region I,Ilocos Sur,Narvacan,16.82,2.47,14.68,17.7,1.9,11.0,17.2,2.0,11.7
PH012915000,Region I,Ilocos Sur,Quirino,21.74,4.54,20.88,27.2,4.3,15.8,35.8,5.8,16.2
PH012916000,Region I,Ilocos Sur,Salcedo,18.98,3.19,16.81,22.7,2.8,12.5,30.8,3.8,12.2
PH012917000,Region I,Ilocos Sur,San Emilio,21.68,5.12,23.62,23.7,4.7,19.9,33.8,4.9,14.6
PH012918000,Region I,Ilocos Sur,San Esteban,15.76,3.93,24.94,15.7,2.9,18.6,19.0,3.7,19.6
PH012919000,Region I,Ilocos Sur,San Ildefonson,16.08,3.35,20.83,15.4,2.4,15.4,16.8,2.7,15.9
PH012920000,Region I,Ilocos Sur,San Juan,16.12,2.48,15.38,18.0,2.3,12.8,13.9,2.3,16.7
PH012921000,Region I,Ilocos Sur,San Vicente,13.82,4.13,29.88,12.9,2.8,21.5,10.7,2.7,24.8
PH012922000,Region I,Ilocos Sur,Santa,14.76,2.6,17.62,13.6,2.3,16.9,20.0,2.4,12.0
PH012923000,Region I,Ilocos Sur,Santa Catalina,14.62,3.53,24.15,11.7,2.3,19.6,6.3,2.2,35.2
PH012924000,Region I,Ilocos Sur,Santa Cruz,18.78,2.49,13.26,24.0,2.3,9.7,33.2,2.3,7.0
PH012925000,Region I,Ilocos Sur,Santa Lucia,19.34,2.74,14.17,25.1,2.8,11.2,21.8,2.3,10.6
PH012926000,Region I,Ilocos Sur,Santa Maria,15.06,2.21,14.67,16.9,2.1,12.7,17.2,2.2,13.0
PH012927000,Region I,Ilocos Sur,Santiago,17.9,3.02,16.87,20.9,2.4,11.4,24.0,2.7,11.1
PH012928000,Region I,Ilocos Sur,Santo Domingo,16.17,2.36,14.59,16.4,2.0,12.3,17.1,2.0,11.5
PH012929000,Region I,Ilocos Sur,Sigay,23.01,6.05,26.29,27.2,5.5,20.1,36.2,7.5,20.7
PH012930000,Region I,Ilocos Sur,Sinait,17.79,2.77,15.57,18.7,2.5,13.2,16.7,2.6,15.5
PH012931000,Region I,Ilocos Sur,Sugpon,21.43,5.35,24.97,35.4,7.4,20.9,51.7,7.2,14.0
PH012932000,Region I,Ilocos Sur,Suyo,19.74,4.2,21.28,24.4,4.4,18.1,39.8,5.3,13.2
PH012933000,Region I,Ilocos Sur,Tagudin,18.8,2.65,14.10,20.6,1.9,9.3,23.7,2.1,8.9
PH012934000,Region I,Ilocos Sur,Vigan City,13.31,1.95,14.65,12.4,1.6,12.9,6.9,1.6,23.2
PH013301000,Region I,La Union,Agoo,10.85,1.79,16.50,21.3,2.2,10.3,23.2,2.0,8.8
PH013302000,Region I,La Union,Aringay,12.78,2.36,18.47,26.0,3.5,13.4,32.9,3.2,9.6
PH013303000,Region I,La Union,Bacnotan,9.99,1.91,19.12,21.1,1.8,8.4,18.6,1.9,10.3
PH013304000,Region I,La Union,Bagulin,16.21,4.29,26.47,35.1,3.6,10.2,49.5,5.5,11.2
PH013305000,Region I,La Union,Balaoan,11.81,2.13,18.04,26.6,2.2,8.2,27.8,3.0,10.6
PH013306000,Region I,La Union,Bangar,12.09,2.19,18.11,27.9,3.3,11.9,27.3,2.3,8.3
PH013307000,Region I,La Union,Bauang,10.43,2.1,20.13,20.3,2.2,10.7,20.5,2.0,9.9
PH013308000,Region I,La Union,Burgos,13.41,3.86,28.78,26.2,2.8,10.6,40.8,5.1,12.5
PH013309000,Region I,La Union,Caba,11.48,2.82,24.56,25.2,1.8,7.2,29.6,3.5,11.7
PH013310000,Region I,La Union,Luna,10.57,2.07,19.58,24.7,2.9,11.8,23.5,2.1,8.8
PH013311000,Region I,La Union,Naguilian,10.91,1.92,17.60,21.9,2.8,12.9,27.0,2.4,9.0
PH013312000,Region I,La Union,Pugo,12.38,2.95,23.83,27.4,2.6,9.4,27.6,3.4,12.2
PH013313000,Region I,La Union,Rosario,12.26,2,16.31,24.8,3.6,14.4,26.0,2.1,8.2
PH013314000,Region I,La Union,San Fernando City,8.76,1.74,19.86,15.0,1.3,8.9,14.4,1.7,11.7
PH013315000,Region I,La Union,San Gabriel,13.73,3.18,23.16,29.7,4.0,13.6,39.9,4.0,10.0
PH013316000,Region I,La Union,San Juan,10.67,1.85,17.34,22.7,2.8,12.3,25.6,2.3,9.1
PH013317000,Region I,La Union,Santo Tomas,11.36,2.43,21.39,22.7,1.4,6.3,33.4,3.2,9.7
PH013318000,Region I,La Union,Santol,14.52,3.71,25.55,32.7,3.2,9.8,39.7,5.1,12.8
PH013319000,Region I,La Union,Sudipen,11.37,2.58,22.69,25.8,3.6,14.0,33.1,3.5,10.4
PH013320000,Region I,La Union,Tubao,12.73,3.03,23.80,26.2,3.5,13.3,31.4,3.4,10.8
PH015501000,Region I,Pangasinan,Agno,12.97,3.23,24.90,28.4,3.3,11.5,32.1,2.9,9.0
PH015502000,Region I,Pangasinan,Aguilar,13.84,3.18,22.98,26.0,2.1,8.1,31.1,3.1,9.9
PH015503000,Region I,Pangasinan,Alaminos City,12.06,2.24,18.57,19.9,2.0,10.1,24.8,2.2,8.8
PH015504000,Region I,Pangasinan,Alcala,11.47,2.49,21.71,20.3,1.5,7.5,24.4,2.8,11.5
PH015505000,Region I,Pangasinan,Anda,13.88,3.18,22.91,25.9,2.1,8.0,31.6,3.2,10.0
PH015506000,Region I,Pangasinan,Asungan,10.6,2.27,21.42,20.4,2.0,10.0,22.2,2.6,11.5
PH015507000,Region I,Pangasinan,Balungo,11.69,3.01,25.75,21.4,2.1,10.0,31.7,3.5,11.1
PH015508000,Region I,Pangasinan,Bani,12.4,2.46,19.84,21.0,1.1,5.3,29.9,2.8,9.4
PH015509000,Region I,Pangasinan,Basista,13.85,3.7,26.71,24.6,1.2,5.0,29.9,4.1,13.6
PH015510000,Region I,Pangasinan,Bautista,12.46,2.56,20.55,23.4,2.2,9.4,30.1,3.6,11.8
PH015511000,Region I,Pangasinan,Bayambang,13.49,1.72,12.75,24.2,1.9,7.9,27.4,2.0,7.1
PH015512000,Region I,Pangasinan,Binalonan,10.39,2.44,23.48,14.8,1.4,9.7,17.3,2.0,11.6
PH015513000,Region I,Pangasinan,Binmaley,10.69,1.97,18.43,17.5,1.7,9.6,22.7,2.0,8.8
PH015514000,Region I,Pangasinan,Bolinao,14.64,2.69,18.37,28.7,2.8,9.7,35.7,3.0,8.4
PH015515000,Region I,Pangasinan,Bugallon,14.57,2.7,18.53,24.8,1.9,7.6,30.1,2.9,9.5
PH015516000,Region I,Pangasinan,Burgos,12.06,3.17,26.29,28.7,2.8,9.8,33.5,3.4,10.1
PH015517000,Region I,Pangasinan,Calasiao,11.85,2.37,20.00,17.2,1.9,11.1,23.1,2.5,10.7
PH015518000,Region I,Pangasinan,Dagupan City,10.91,2.21,20.26,13.9,1.0,7.0,15.7,2.5,15.9
PH015519000,Region I,Pangasinan,Dasol,13.82,2.89,20.91,25.3,2.4,9.6,31.0,3.1,9.9
PH015520000,Region I,Pangasinan,Infanta,12.89,3.66,28.39,24.0,2.6,11.0,39.0,3.8,9.8
PH015521000,Region I,Pangasinan,Labrador,10.47,3.15,30.09,18.6,1.8,9.9,31.7,3.9,12.2
PH015522000,Region I,Pangasinan,Lingayen,11.24,2.1,18.68,18.3,1.1,5.8,24.0,2.6,11.0
PH015523000,Region I,Pangasinan,Mabini,13.03,3.16,24.25,21.5,1.6,7.6,40.3,3.6,8.8
PH015524000,Region I,Pangasinan,Malasiqui,13.12,2.03,15.47,24.5,1.5,6.3,28.2,2.0,7.2
PH015525000,Region I,Pangasinan,Manaoag,12.8,2.54,19.84,22.3,2.5,11.2,22.4,2.3,10.4
PH015526000,Region I,Pangasinan,Mangaldan,12.08,2.14,17.72,17.8,1.3,7.0,22.7,2.2,9.7
PH015527000,Region I,Pangasinan,Mangatarem,13.05,2.19,16.78,25.5,2.0,8.0,30.8,1.9,6.0
PH015528000,Region I,Pangasinan,Mapandan,11.65,2.45,21.03,21.3,2.1,10.0,23.8,3.2,13.4
PH015529000,Region I,Pangasinan,Natividad,11.56,2.34,20.24,21.5,2.8,12.8,19.9,2.8,14.1
PH015530000,Region I,Pangasinan,Possorubio,11.78,2.32,19.69,20.0,1.4,7.2,24.3,2.1,8.7
PH015531000,Region I,Pangasinan,Rosales,11.73,2.23,19.01,17.9,1.9,10.4,26.4,2.2,8.2
PH015532000,Region I,Pangasinan,San Carlos City,13.41,1.87,13.94,26.4,1.9,7.3,29.5,1.8,6.2
PH015533000,Region I,Pangasinan,San Fabian,11.58,2.16,18.65,22.1,2.3,10.3,32.8,2.5,7.5
PH015534000,Region I,Pangasinan,San Jacinto,12.77,2.88,22.55,21.1,2.6,12.3,24.2,2.8,11.6
PH015535000,Region I,Pangasinan,San Manuel,13.29,3.29,24.76,21.3,2.1,10.0,28.2,3.3,11.7
PH015536000,Region I,Pangasinan,San Nicolas,11.01,2.01,18.26,18.9,1.2,6.6,25.3,2.1,8.3
PH015537000,Region I,Pangasinan,San Quintin,13.16,2.55,19.38,20.5,2.3,11.2,26.0,2.9,11.3
PH015538000,Region I,Pangasinan,Santa Barbara,12.55,2.25,17.93,20.4,2.1,10.2,28.2,2.4,8.4
PH015539000,Region I,Pangasinan,Santa Maria,10.95,2.51,22.92,18.3,2.5,13.8,24.2,2.6,10.5
PH015540000,Region I,Pangasinan,Santo Tomas,10.64,3.67,34.49,17.5,1.2,6.6,22.8,3.7,16.3
PH015541000,Region I,Pangasinan,Sison,11.76,1.96,16.67,18.9,1.7,8.8,29.2,2.7,9.1
PH015542000,Region I,Pangasinan,Sual,13.72,3.58,26.09,26.7,1.3,4.9,36.7,3.2,8.8
PH015543000,Region I,Pangasinan,Tayug,10.11,2.18,21.56,16.4,1.2,7.3,15.5,2.6,16.9
PH015544000,Region I,Pangasinan,Umingan,12.41,2.28,18.37,22.9,2.2,9.6,38.5,2.5,6.5
PH015545000,Region I,Pangasinan,Urbiztondo,15.6,3.29,21.09,31.7,3.0,9.6,33.2,3.1,9.3
PH015546000,Region I,Pangasinan,Urdaneta City,11.2,1.87,16.70,14.4,1.2,8.4,18.9,2.1,11.1
PH015547000,Region I,Pangasinan,Villasis,11.19,2.71,24.22,17.0,1.7,9.8,19.4,2.7,14.0
PH015548000,Region I,Pangasinan,Laoac,11.36,2.28,20.07,21.0,1.2,5.9,26.5,2.7,10.0
PH020901000,Region II,Batanes,Basco,16.87,3.26,19.32,5.1,1.9,36.8,4.1,2.0,49.4
PH020902000,Region II,Batanes,Itbayat,34.1,5.17,15.16,12.6,4.2,33.4,18.2,6.4,35.0
PH020903000,Region II,Batanes,Ivana,16.43,4.37,26.60,8.9,3.8,42.2,21.9,12.0,54.8
PH020904000,Region II,Batanes,Mahatao,21.44,4.31,20.10,8.9,3.8,42.8,13.5,4.7,34.6
PH020905000,Region II,Batanes,Sabtang,30.65,4.65,15.17,11.4,3.9,33.8,10.0,5.0,50.0
PH020906000,Region II,Batanes,Uyugan,18.13,4.12,22.72,8.1,3.2,39.6,6.0,3.2,54.3
PH021501000,Region II,Cagayan,Abulog,20.94,2.07,9.89,21.6,2.6,12.1,18.0,3.2,17.6
